rt	trial_type	trial_index	trial_index_global	time_elapsed	subject	condition	problems	moveNum	src	category	imageName	init_locationsX	init_locationsY	movesX	movesY	dropTime	dropCorrect	dropPosition	final_locationsX	final_locationsY	problem_type	responseL	responseR
43171	active-sort	0	1	61552	p109296	active	pbp11b	9	lib/images/pbp34/problem/pbp34_1-1.jpg	left	pbp34_1-1.jpg	535	344.5714417	124.5000076	452.3571777	35102	1	left	124.5000076	452.3571777	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	10	lib/images/pbp34/problem/pbp34_1-2.jpg	left	pbp34_1-2.jpg	425.0000305	454.5714417	235.642868	452.3660889	36509	1	left	235.642868	452.3660889	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	11	lib/images/pbp34/problem/pbp34_3-4.jpg	right	pbp34_3-4.jpg	535	454.5714417	941.500061	452.3660889	37669	1	right	941.500061	452.3660889	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	12	lib/images/pbp34/problem/pbp34_3-3.jpg	right	pbp34_3-3.jpg	645	454.5714417	1052.642944	346.2142944	39067	1	right	1052.642944	346.2142944	pbp34	seemed more stable and orderly	seemed more chaotic
43171	active-sort	0	1	61552	p109296	active	pbp11b	13	lib/images/pbp34/problem/pbp34_2-3.jpg	right	pbp34_2-3.jpg	755.000061	454.5714417	1052.642944	452.3660889	40174	1	right	1052.642944	452.3660889	pbp34	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	1	lib/images/pbp11b/problem/pbp11b_1-1.jpg	left	pbp11b_1-1.jpg	425.0000305	234.5714417	124.5000076	240.0714417	7192	1	left	124.5000076	240.0714417	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	2	lib/images/pbp11b/problem/pbp11b_1-3.jpg	right	pbp11b_1-3.jpg	535	234.5714417	941.500061	240.0714417	8946	1	right	941.500061	240.0714417	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	3	lib/images/pbp11b/problem/pbp11b_2-1.jpg	left	pbp11b_2-1.jpg	755.000061	234.5714417	235.642868	240.0714417	12637	1	left	235.642868	240.0714417	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	4	lib/images/pbp11b/problem/pbp11b_2-4.jpg	right	pbp11b_2-4.jpg	645	234.5714417	137	344.5714417	14681	0	left	1052.642944	240.0714417	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	5	lib/images/pbp11b/problem/pbp11b_2-4.jpg	right	pbp11b_2-4.jpg	645	234.5714417	1052.642944	240.0714417	15935	1	right	1052.642944	240.0714417	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	6	lib/images/pbp11b/problem/pbp11b_3-4.jpg	right	pbp11b_3-4.jpg	755.000061	344.5714417	115.0000076	366.5714417	17724	0	left	941.500061	346.2053833	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	7	lib/images/pbp11b/problem/pbp11b_3-4.jpg	right	pbp11b_3-4.jpg	755.000061	344.5714417	941.500061	346.2053833	18766	1	right	941.500061	346.2053833	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	8	lib/images/pbp11b/problem/pbp11b_1-2.jpg	left	pbp11b_1-2.jpg	645	344.5714417	1089	354.5714417	19889	0	right	124.5000076	346.2053833	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	9	lib/images/pbp11b/problem/pbp11b_1-2.jpg	left	pbp11b_1-2.jpg	645	344.5714417	124.5000076	346.2053833	21209	1	left	124.5000076	346.2053833	pbp11b	seemed more stable and orderly	seemed more chaotic
